Transcript_ID	AC	AC_afr	AC_amr	AC_nfe	AC_asj	AC_sas	AC_eas	AC_mid	AC_fin	Gene_name	Gene_id	Variant	AC/Variant	lof_transcript	Exon_number
ENST00000309955	39	0	0	31	0	2	1	1	1	CFLAR	ENSG00000003402	89	0.43820224719101125	0.397	9.0
ENST00000341222	275600	13548	4675	218623	6601	10520	774	1144	7972	CFLAR	ENSG00000003402	68	4052.9411764705883	0.803	5.0
ENST00000341582	30	0	0	23	0	2	0	1	1	CFLAR	ENSG00000003402	82	0.36585365853658536	0.397	7.0
ENST00000342795	29	0	0	23	0	3	1	1	1	CFLAR	ENSG00000003402	78	0.3717948717948718	0.728	8.0
ENST00000395148	417	0	2	382	1	13	1	1	1	CFLAR	ENSG00000003402	72	5.791666666666667	0.846	4.0
ENST00000417748	2	0	0	0	0	0	0	1	1	CFLAR	ENSG00000003402	53	0.03773584905660377	0.965	2.0
ENST00000423241	39	0	0	31	0	2	1	1	1	CFLAR	ENSG00000003402	89	0.43820224719101125	0.397	9.0
ENST00000433445	1	0	0	0	0	0	0	0	1	CFLAR	ENSG00000003402	1	1.0	1.703	1.0
ENST00000440180	275600	13548	4675	218623	6601	10520	774	1144	7972	CFLAR	ENSG00000003402	68	4052.9411764705883	0.803	5.0
ENST00000441224	4	0	0	1	0	1	0	1	1	CFLAR	ENSG00000003402	54	0.07407407407407407	0.996	2.0
ENST00000443227	37	0	0	31	0	2	1	0	0	CFLAR	ENSG00000003402	36	1.0277777777777777	0.419	8.0
ENST00000457277	44	0	1	34	0	3	1	1	1	CFLAR	ENSG00000003402	91	0.4835164835164835	0.49	9.0
ENST00000462763	22	0	0	20	0	1	1	0	0	CFLAR	ENSG00000003402	20	1.1	1.092	6.0
ENST00000470178	275598	13548	4675	218623	6601	10520	774	1143	7971	CFLAR	ENSG00000003402	15	18373.2	1.179	4.0
ENST00000479953	42	0	1	34	0	3	1	0	0	CFLAR	ENSG00000003402	38	1.105263157894737	0.541	8.0
ENST00000494258	923	5	5	70	0	91	640	3	2	CFLAR	ENSG00000003402	11	83.9090909090909	1.389	3.0
